trialNumberGlobal,trialNumberBlock,blockNumber,timeExperiment,timeBlock,reactionTime,blockType,fireType,targetType,numDistractors,numDistractorsSing,blockFirePosition,targetPosition,trialFirePosition,
660,60,1,1826.262,133.2534,1.798078,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(9.0, 2.0, 0.0)","(0.0, 0.0, 0.0)",
661,61,1,1828.328,135.3199,0.8487923,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(13.0, 2.0, 15.0)","(0.0, 0.0, 0.0)",
662,62,1,1831.624,138.6151,2.143932,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(19.0, 4.0, 2.0)","(0.0, 0.0, 0.0)",
663,63,1,1833.344,140.335,0.490832,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(1.0, 1.0, 10.0)","(0.0, 0.0, 0.0)",
664,64,1,1835.097,142.0884,0.6276336,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(16.0, 4.0, 10.0)","(0.0, 0.0, 0.0)",
665,65,1,1837.006,143.9989,0.5805777,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(17.0, 2.0, 18.0)","(0.0, 0.0, 0.0)",
666,66,1,1840.044,147.0374,1.793043,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-6.0, 1.0, 2.0)","(0.0, 0.0, 0.0)",
667,67,1,1843.025,150.0194,1.799152,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(9.0, 4.0, 3.0)","(0.0, 0.0, 0.0)",
668,68,1,1845.804,152.7997,1.574275,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(8.0, 1.0, 4.0)","(0.0, 0.0, 0.0)",
669,69,1,1847.204,154.198,0.2152569,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(3.0, 3.0, 19.0)","(0.0, 0.0, 0.0)",
670,70,1,1850.542,157.5372,2.15545,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-15.0, 1.0, 6.0)","(0.0, 0.0, 0.0)",
671,71,1,1852.317,159.3122,0.3794791,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(6.0, 1.0, 12.0)","(0.0, 0.0, 0.0)",
672,72,1,1854.506,161.502,1.031611,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-16.0, 1.0, 14.0)","(0.0, 0.0, 0.0)",
673,73,1,1857.757,164.7523,1.972429,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-16.0, 4.0, 1.0)","(0.0, 0.0, 0.0)",
674,74,1,1859.176,166.1701,0.180851,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-2.0, 2.0, 11.0)","(0.0, 0.0, 0.0)",
675,75,1,1862.236,169.2308,1.656494,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-13.0, 2.0, 0.0)","(0.0, 0.0, 0.0)",
676,76,1,1863.911,170.906,0.3464709,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-4.0, 2.0, 12.0)","(0.0, 0.0, 0.0)",
677,77,1,1865.531,172.5259,0.492753,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(6.0, 4.0, 6.0)","(0.0, 0.0, 0.0)",
678,78,1,1867.094,174.0897,0.3467606,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-4.0, 2.0, 17.0)","(0.0, 0.0, 0.0)",
679,79,1,1869.051,176.0462,0.772323,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-18.0, 3.0, 18.0)","(0.0, 0.0, 0.0)",
680,80,1,1870.692,177.6866,0.4461555,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-1.0, 4.0, 9.0)","(0.0, 0.0, 0.0)",
681,81,1,1872.545,179.5404,0.6148003,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-9.0, 3.0, 10.0)","(0.0, 0.0, 0.0)",
682,82,1,1875.672,182.6666,1.932933,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(10.0, 1.0, 5.0)","(0.0, 0.0, 0.0)",
683,83,1,1878.913,185.907,2.06456,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(19.0, 3.0, 9.0)","(0.0, 0.0, 0.0)",
684,84,1,1880.5,187.4933,0.4140936,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-6.0, 2.0, 18.0)","(0.0, 0.0, 0.0)",
685,85,1,1881.985,188.9786,0.3026805,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-4.0, 2.0, 17.0)","(0.0, 0.0, 0.0)",
686,86,1,1883.504,190.4978,0.3701027,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(1.0, 4.0, 4.0)","(0.0, 0.0, 0.0)",
687,87,1,1885.078,192.0719,0.3463785,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(14.0, 3.0, 16.0)","(0.0, 0.0, 0.0)",
688,88,1,1886.476,193.4692,0.1893346,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(6.0, 4.0, 15.0)","(0.0, 0.0, 0.0)",
689,89,1,1887.838,194.8316,0.1912761,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(0.0, 2.0, 9.0)","(0.0, 0.0, 0.0)",
690,90,1,1890.416,197.4097,1.530566,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-9.0, 2.0, 3.0)","(0.0, 0.0, 0.0)",
691,91,1,1892.764,199.7571,1.16185,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(18.0, 4.0, 4.0)","(0.0, 0.0, 0.0)",
692,92,1,1894.373,201.366,0.4171413,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(10.0, 3.0, 14.0)","(0.0, 0.0, 0.0)",
693,93,1,1896.104,203.097,0.6661556,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-6.0, 2.0, 3.0)","(0.0, 0.0, 0.0)",
694,94,1,1897.643,204.6361,0.4259296,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-6.0, 1.0, 8.0)","(0.0, 0.0, 0.0)",
695,95,1,1900.426,207.4196,1.654863,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(12.0, 2.0, 6.0)","(0.0, 0.0, 0.0)",
696,96,1,1902.594,209.5869,0.9519404,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-11.0, 4.0, 5.0)","(0.0, 0.0, 0.0)",
697,97,1,1904.805,211.7984,1.049323,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-11.0, 1.0, 0.0)","(0.0, 0.0, 0.0)",
698,98,1,1906.825,213.8194,0.7657586,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(6.0, 1.0, 0.0)","(0.0, 0.0, 0.0)",
699,99,1,1908.781,215.7754,0.8170164,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-13.0, 1.0, 19.0)","(0.0, 0.0, 0.0)",
700,100,1,1911.695,218.6899,1.742179,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(12.0, 4.0, 5.0)","(0.0, 0.0, 0.0)",
701,101,1,1914.186,221.1805,1.289738,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-17.0, 4.0, 4.0)","(0.0, 0.0, 0.0)",
702,102,1,1916.187,223.1806,0.7937406,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(12.0, 3.0, 11.0)","(0.0, 0.0, 0.0)",
703,103,1,1919.335,226.3293,1.976692,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(15.0, 1.0, 2.0)","(0.0, 0.0, 0.0)",
704,104,1,1920.876,227.8706,0.3730416,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(5.0, 2.0, 11.0)","(0.0, 0.0, 0.0)",
705,105,1,1922.685,229.6803,0.7925748,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-16.0, 4.0, 15.0)","(0.0, 0.0, 0.0)",
706,106,1,1924.608,231.6032,0.737181,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(12.0, 1.0, 13.0)","(0.0, 0.0, 0.0)",
707,107,1,1927.663,234.6579,1.917064,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(13.0, 2.0, 3.0)","(0.0, 0.0, 0.0)",
708,108,1,1930.773,237.7668,1.964735,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(12.0, 4.0, 4.0)","(0.0, 0.0, 0.0)",
709,109,1,1932.886,239.8803,0.8825863,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(12.0, 3.0, 9.0)","(0.0, 0.0, 0.0)",
710,110,1,1935.687,242.682,1.798267,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-9.0, 2.0, 14.0)","(0.0, 0.0, 0.0)",
711,111,1,1939.195,246.189,1.956309,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(19.0, 3.0, 0.0)","(0.0, 0.0, 0.0)",
712,112,1,1940.881,247.8748,0.3261385,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-5.0, 3.0, 19.0)","(0.0, 0.0, 0.0)",
713,113,1,1942.631,249.6258,0.6116331,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-11.0, 4.0, 16.0)","(0.0, 0.0, 0.0)",
714,114,1,1944.691,251.6846,0.8605042,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(11.0, 1.0, 3.0)","(0.0, 0.0, 0.0)",
715,115,1,1946.477,253.4711,0.605011,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(17.0, 3.0, 12.0)","(0.0, 0.0, 0.0)",
716,116,1,1948.668,255.6617,0.9840516,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-9.0, 2.0, 0.0)","(0.0, 0.0, 0.0)",
717,117,1,1950.093,257.0872,0.2789768,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(10.0, 1.0, 19.0)","(0.0, 0.0, 0.0)",
718,118,1,1952.934,259.9271,1.721225,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(14.0, 3.0, 4.0)","(0.0, 0.0, 0.0)",
719,119,1,1954.6,261.5916,0.4797755,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(16.0, 1.0, 11.0)","(0.0, 0.0, 0.0)",
720,120,1,1956.199,263.1902,0.4591965,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-8.0, 1.0, 14.0)","(0.0, 0.0, 0.0)",
721,121,1,1957.571,264.5616,0.3934376,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(9.0, 1.0, 15.0)","(0.0, 0.0, 0.0)",
722,122,1,1960.016,267.008,1.319108,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-15.0, 3.0, 1.0)","(0.0, 0.0, 0.0)",
723,123,1,1961.659,268.6503,0.3821755,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-2.0, 3.0, 2.0)","(0.0, 0.0, 0.0)",
724,124,1,1963.11,270.1018,0.2920283,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(7.0, 4.0, 16.0)","(0.0, 0.0, 0.0)",
725,125,1,1964.634,271.6257,0.3284162,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(6.0, 1.0, 12.0)","(0.0, 0.0, 0.0)",
726,126,1,1966.585,273.5759,0.770954,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(8.0, 4.0, 8.0)","(0.0, 0.0, 0.0)",
727,127,1,1969.378,276.3682,1.687276,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-19.0, 3.0, 5.0)","(0.0, 0.0, 0.0)",
728,128,1,1971.5,278.4909,0.8819946,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(18.0, 2.0, 5.0)","(0.0, 0.0, 0.0)",
729,129,1,1972.829,279.8197,0.2465213,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(3.0, 2.0, 6.0)","(0.0, 0.0, 0.0)",
730,130,1,1974.282,281.2724,0.3695949,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(11.0, 1.0, 19.0)","(0.0, 0.0, 0.0)",
731,131,1,1975.689,282.6797,0.2241865,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-1.0, 2.0, 15.0)","(0.0, 0.0, 0.0)",
732,132,1,1977.23,284.2197,0.3587471,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(5.0, 2.0, 10.0)","(0.0, 0.0, 0.0)",
733,133,1,1980.302,287.2928,1.882886,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(17.0, 1.0, 7.0)","(0.0, 0.0, 0.0)",
734,134,1,1983.34,290.3307,1.959059,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-13.0, 4.0, 10.0)","(0.0, 0.0, 0.0)",
735,135,1,1986.033,293.0226,1.519697,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-4.0, 1.0, 1.0)","(0.0, 0.0, 0.0)",
736,136,1,1988.692,295.6809,1.548684,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-19.0, 3.0, 4.0)","(0.0, 0.0, 0.0)",
737,137,1,1990.647,297.6354,0.7726273,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(8.0, 4.0, 3.0)","(0.0, 0.0, 0.0)",
738,138,1,1992.165,299.1545,0.3163143,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(5.0, 4.0, 18.0)","(0.0, 0.0, 0.0)",
739,139,1,1993.573,300.5623,0.3140635,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(1.0, 4.0, 4.0)","(0.0, 0.0, 0.0)",
740,140,1,1995.08,302.0696,0.3022789,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-5.0, 1.0, 10.0)","(0.0, 0.0, 0.0)",
741,141,1,1998.197,305.1864,1.989556,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(15.0, 3.0, 9.0)","(0.0, 0.0, 0.0)",
742,142,1,2000.33,307.3196,1.005976,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-20.0, 1.0, 3.0)","(0.0, 0.0, 0.0)",
743,143,1,2001.902,308.8914,0.3993316,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(9.0, 2.0, 11.0)","(0.0, 0.0, 0.0)",
744,144,1,2003.76,310.7494,0.7165502,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-8.0, 1.0, 1.0)","(0.0, 0.0, 0.0)",
745,145,1,2005.424,312.4124,0.4913199,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-11.0, 1.0, 16.0)","(0.0, 0.0, 0.0)",
746,146,1,2007.322,314.3108,0.7511187,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(16.0, 1.0, 13.0)","(0.0, 0.0, 0.0)",
747,147,1,2008.975,315.9631,0.4968011,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-15.0, 3.0, 18.0)","(0.0, 0.0, 0.0)",
748,148,1,2010.799,317.7879,0.7053267,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(9.0, 4.0, 19.0)","(0.0, 0.0, 0.0)",
749,149,1,2013.309,320.2984,1.252795,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(8.0, 1.0, 12.0)","(0.0, 0.0, 0.0)",
750,150,1,2016.414,323.4036,1.755485,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-16.0, 4.0, 3.0)","(0.0, 0.0, 0.0)",
751,151,1,2018.066,325.0565,0.4361562,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-1.0, 2.0, 13.0)","(0.0, 0.0, 0.0)",
752,152,1,2019.832,326.8214,0.7267811,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(9.0, 3.0, 4.0)","(0.0, 0.0, 0.0)",
753,153,1,2021.228,328.2178,0.2241438,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(1.0, 1.0, 13.0)","(0.0, 0.0, 0.0)",
754,154,1,2023.027,330.0161,0.6604622,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-18.0, 2.0, 15.0)","(0.0, 0.0, 0.0)",
755,155,1,2024.412,331.401,0.193496,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(0.0, 3.0, 7.0)","(0.0, 0.0, 0.0)",
756,156,1,2027.225,334.2152,1.664301,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-15.0, 3.0, 4.0)","(0.0, 0.0, 0.0)",
757,157,1,2029.918,336.9073,1.530639,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(18.0, 2.0, 6.0)","(0.0, 0.0, 0.0)",
758,158,1,2031.548,338.5372,0.5228531,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-2.0, 3.0, 13.0)","(0.0, 0.0, 0.0)",
759,159,1,2032.969,339.9585,0.3687451,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-10.0, 4.0, 13.0)","(0.0, 0.0, 0.0)",
760,160,1,2035.582,342.571,1.544291,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(10.0, 1.0, 5.0)","(0.0, 0.0, 0.0)",
761,161,1,2036.977,343.9672,0.3251232,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(9.0, 1.0, 14.0)","(0.0, 0.0, 0.0)",
762,162,1,2038.523,345.5137,0.4683091,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(8.0, 4.0, 15.0)","(0.0, 0.0, 0.0)",
763,163,1,2041.479,348.4676,1.910839,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(4.0, 4.0, 1.0)","(0.0, 0.0, 0.0)",
764,164,1,2043.545,350.5345,0.9499702,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-4.0, 4.0, 1.0)","(0.0, 0.0, 0.0)",
765,165,1,2044.963,351.9527,0.4019507,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-7.0, 3.0, 11.0)","(0.0, 0.0, 0.0)",
766,166,1,2046.535,353.5258,0.3917915,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(10.0, 4.0, 12.0)","(0.0, 0.0, 0.0)",
767,167,1,2048.76,355.7512,1.006068,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-4.0, 4.0, 10.0)","(0.0, 0.0, 0.0)",
768,168,1,2050.099,357.0911,0.2339279,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(3.0, 2.0, 15.0)","(0.0, 0.0, 0.0)",
769,169,1,2052.938,359.9284,1.84279,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(13.0, 1.0, 4.0)","(0.0, 0.0, 0.0)",
770,170,1,2054.803,361.7929,0.6574585,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(6.0, 4.0, 3.0)","(0.0, 0.0, 0.0)",
771,171,1,2057.349,364.3408,1.408392,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-15.0, 1.0, 15.0)","(0.0, 0.0, 0.0)",
772,172,1,2060.345,367.3349,1.766262,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(7.0, 1.0, 1.0)","(0.0, 0.0, 0.0)",
773,173,1,2065.068,372.0586,3.586427,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(8.0, 3.0, 19.0)","(0.0, 0.0, 0.0)",
774,174,1,2067.424,374.4155,1.00638,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-13.0, 2.0, 3.0)","(0.0, 0.0, 0.0)",
775,175,1,2068.941,375.931,0.2343587,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-2.0, 1.0, 4.0)","(0.0, 0.0, 0.0)",
776,176,1,2071.502,378.4929,1.409817,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(17.0, 2.0, 2.0)","(0.0, 0.0, 0.0)",
777,177,1,2073.957,380.9494,1.274549,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-19.0, 4.0, 7.0)","(0.0, 0.0, 0.0)",
778,178,1,2075.61,382.6031,0.4472392,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(10.0, 2.0, 12.0)","(0.0, 0.0, 0.0)",
779,179,1,2078.546,385.5403,1.765456,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(4.0, 1.0, 1.0)","(0.0, 0.0, 0.0)",
780,180,1,2080.198,387.1935,0.5142303,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(2.0, 1.0, 10.0)","(0.0, 0.0, 0.0)",
781,181,1,2082.567,389.5616,1.184428,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-9.0, 1.0, 0.0)","(0.0, 0.0, 0.0)",
782,182,1,2084.083,391.0783,0.3471391,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(5.0, 4.0, 10.0)","(0.0, 0.0, 0.0)",
783,183,1,2086.921,393.9174,1.755573,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-7.0, 3.0, 4.0)","(0.0, 0.0, 0.0)",
784,184,1,2088.451,395.4467,0.355814,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(9.0, 4.0, 17.0)","(0.0, 0.0, 0.0)",
785,185,1,2090.028,397.0224,0.4692407,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-7.0, 4.0, 11.0)","(0.0, 0.0, 0.0)",
786,186,1,2094.763,401.7581,3.552404,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-2.0, 4.0, 0.0)","(0.0, 0.0, 0.0)",
787,187,1,2101.163,408.1582,1.712631,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(6.0, 4.0, 4.0)","(0.0, 0.0, 0.0)",
788,188,1,2103.195,410.1911,0.4140445,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(7.0, 1.0, 15.0)","(0.0, 0.0, 0.0)",
789,189,1,2105.406,412.4024,1.027195,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(16.0, 4.0, 12.0)","(0.0, 0.0, 0.0)",
790,190,1,2107.071,414.0674,0.6526123,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(10.0, 2.0, 2.0)","(0.0, 0.0, 0.0)",
791,191,1,2108.846,415.8424,0.7632841,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-5.0, 3.0, 9.0)","(0.0, 0.0, 0.0)",
792,192,1,2110.487,417.4846,0.6048546,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(11.0, 4.0, 2.0)","(0.0, 0.0, 0.0)",
793,193,1,2113.695,420.6912,2.033208,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(16.0, 2.0, 10.0)","(0.0, 0.0, 0.0)",
794,194,1,2115.224,422.2202,0.4689453,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(14.0, 2.0, 14.0)","(0.0, 0.0, 0.0)",
795,195,1,2116.698,423.694,0.3473624,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(5.0, 1.0, 15.0)","(0.0, 0.0, 0.0)",
796,196,1,2118.387,425.3829,0.5481153,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-12.0, 2.0, 8.0)","(0.0, 0.0, 0.0)",
797,197,1,2120.073,427.0685,0.5364435,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(19.0, 4.0, 16.0)","(0.0, 0.0, 0.0)",
798,198,1,2121.681,428.6761,0.2787176,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-3.0, 2.0, 19.0)","(0.0, 0.0, 0.0)",
799,199,1,2123.215,430.21,0.4818267,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-11.0, 3.0, 18.0)","(0.0, 0.0, 0.0)",
